Special Yakisoba,1400,Beef,Pork,Shrimp,Squid,Mushroom
Seafood Special Yakisoba,1400,Shrimp,Squid,Octopus,Big shrimp,Scallop
Omu-soba(Yakisoba wrapped in an omelet),1050,Beef,Shrimp,Eggs
Salt-flavored Yakisoba,1050,Pork,Shrimp,Squid,onsen egg
Normal Yakisoba,850,Pork,Shrimp,Squid
1000yen Yakisoba,1000,「Pork and Kimuchi Yakisoba」,「Beef and Squid Yakisoba」
870yen Yakisoba,870,「Pork Yakisoba」,「Beef Yakisoba」
850yen Yakisoba,850,「Squid Yakisoba」「Shrimp Yakisoba」
