Pork Okonomiyaki,900
Beef Okonomiyaki,900
Beef Tendon Okonomiyaki,900
Scallops Okonomiyaki,900
Bacon Okonomiyaki,900
Shrimp Okonomiyaki,800
Octopus Okonomiyaki,800
Squid Okonomiyaki,800
Red kidney beans Okonomiyaki,800
Tempura Okonomiyaki,800
Katsu Okonomiyaki,800
Modern-Style Okonomiyaki,800
Mochi Okonomiyaki,900
