Special Set menu for two,3300,Some Teppanyaki,Okonomiyaki(Special Okonomiyaki or Seafood Special Okonomiyaki),Yakisoba(Beef and Squid Yakisoba or Pork and Kimuchi Yakisoba),Sherbet
Special Set menu for three or more,1900(per a people),Grilled squid tentacles with salt,Grilled Awaodori with salt,Steamed Pork and Bean sprouts,Some Teppanyaki
